table,column,block,description,source,source_release,endpoint,dtype,non_null_fraction
target_features.csv,target_pref_name,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,target_type,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,target_organism,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,component_id,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,int64,1.0
target_features.csv,accession,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.9883
target_features.csv,component_description,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,component_relationship,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,chembl_protein_class_path,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,chembl_protein_class_L1,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,chembl_protein_class_leaf,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,1.0
target_features.csv,uniprot_entry,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.9792
target_features.csv,protein_name,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.9792
target_features.csv,gene_symbol,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.9583
target_features.csv,aa_length,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,float64,0.9792
target_features.csv,uniprot_keywords,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.9792
target_features.csv,uniprot_subcellular_location,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.7044
target_features.csv,uniprot_function,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.875
target_features.csv,ensembl_gene_id,target biology,Ensembl gene id resolved from HGNC symbol,Ensembl,current release at retrieval,https://rest.ensembl.org/lookup/symbol/homo_sapiens,object,0.6439
target_features.csv,ot_approved_symbol,target biology,Open Targets target attribute,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6439
target_features.csv,ot_biotype,target biology,Open Targets target attribute,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6439
target_features.csv,ot_is_essential,target biology,Open Targets target attribute,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6354
target_features.csv,tract_SM_approved_drug,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_SM_advanced_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_SM_phase_1_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_SM_structure_with_ligand,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_SM_high_quality_ligand,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_SM_high_quality_pocket,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_SM_med_quality_pocket,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_SM_druggable_family,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_approved_drug,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_advanced_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_phase_1_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_uniprot_loc_high_conf,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_go_cc_high_conf,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_uniprot_loc_med_conf,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_uniprot_sigp_or_tmhmm,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_go_cc_med_conf,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_AB_human_protein_atlas_loc,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_approved_drug,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_advanced_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_phase_1_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_literature,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_uniprot_ubiquitination,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_database_ubiquitination,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_half_life_data,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_PR_small_molecule_binder,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_OC_approved_drug,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_OC_advanced_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,tract_OC_phase_1_clinical,target biology,Open Targets tractability bucket,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6393
target_features.csv,constraint_syn_score,target biology,Open Targets gnomAD genetic-constraint statistic,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.6133
target_features.csv,constraint_syn_upperBin,target biology,Open Targets gnomAD genetic-constraint statistic,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.0
target_features.csv,constraint_mis_score,target biology,Open Targets gnomAD genetic-constraint statistic,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.6133
target_features.csv,constraint_mis_upperBin,target biology,Open Targets gnomAD genetic-constraint statistic,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.0
target_features.csv,constraint_lof_score,target biology,Open Targets gnomAD genetic-constraint statistic,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.612
target_features.csv,constraint_lof_upperBin,target biology,Open Targets gnomAD genetic-constraint statistic,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.6094
target_features.csv,n_safety_liabilities,target biology,Open Targets target attribute,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.6439
target_features.csv,safety_events,target biology,Open Targets target attribute,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6439
target_features.csv,safety_datasources,target biology,Open Targets target attribute,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6439
target_features.csv,n_reactome_pathways,target biology,Open Targets target attribute,Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,float64,0.6439
target_features.csv,reactome_top_level_terms,target biology,Union of Reactome top-level pathway terms for target genes (truncated),Open Targets Platform,current release at retrieval,https://api.platform.opentargets.org/api/v4/graphql,object,0.6439
ingredient_target_long.csv,omop_concept_id,identity,OMOP RxNorm Ingredient concept id,OMOP/RxNorm via CEM,"cem_ingredients.csv (local Postgres cem, cem_output.cem_unified)",,int64,1.0
ingredient_target_long.csv,ingredient_name,identity,OMOP concept name for the ingredient,OMOP/RxNorm via CEM,"cem_ingredients.csv (local Postgres cem, cem_output.cem_unified)",,object,1.0
ingredient_target_long.csv,chembl_id,identity,ChEMBL molecule matched by exact normalized name or qualifier-stripped name,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/molecule.json,object,1.0
ingredient_target_long.csv,target_chembl_id,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,0.9675
ingredient_target_long.csv,action_type,mechanism,ChEMBL mechanism record field,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/mechanism.json,object,0.9675
ingredient_target_long.csv,mechanism_of_action,mechanism,ChEMBL mechanism record field,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/mechanism.json,object,1.0
ingredient_target_long.csv,direct_interaction,mechanism,ChEMBL mechanism record field,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/mechanism.json,int64,1.0
ingredient_target_long.csv,molecular_mechanism,mechanism,ChEMBL mechanism record field,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/mechanism.json,int64,1.0
ingredient_target_long.csv,disease_efficacy,mechanism,ChEMBL mechanism record field,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/mechanism.json,int64,1.0
ingredient_target_long.csv,target_pref_name,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,0.9456
ingredient_target_long.csv,target_type,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,0.9456
ingredient_target_long.csv,accession,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.93
ingredient_target_long.csv,gene_symbol,target biology,UniProtKB annotation,UniProtKB,current release at retrieval,https://rest.uniprot.org/uniprotkb/stream,object,0.9183
ingredient_target_long.csv,ensembl_gene_id,target biology,Ensembl gene id resolved from HGNC symbol,Ensembl,current release at retrieval,https://rest.ensembl.org/lookup/symbol/homo_sapiens,object,0.5574
ingredient_target_long.csv,component_relationship,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,0.9456
ingredient_target_long.csv,chembl_protein_class_L1,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,0.9456
ingredient_target_long.csv,chembl_protein_class_leaf,target biology,ChEMBL target / component definition,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/target.json,object,0.9456
ingredient_target_long.csv,mechanism_source,mechanism,ChEMBL mechanism record field,ChEMBL,ChEMBL_37 (2026-05-01),https://www.ebi.ac.uk/chembl/api/data/mechanism.json,object,1.0
ingredient_features_label_adjacent.csv,omop_concept_id,identity,OMOP RxNorm Ingredient concept id,OMOP/RxNorm via CEM,"cem_ingredients.csv (local Postgres cem, cem_output.cem_unified)",,Int64,0.9995
ingredient_features_label_adjacent.csv,ingredient_name,identity,OMOP concept name for the ingredient,OMOP/RxNorm via CEM,"cem_ingredients.csv (local Postgres cem, cem_output.cem_unified)",,object,1.0
ingredient_features_label_adjacent.csv,cem_n_conditions,LABEL-ADJACENT,"Derived from the CEM association file itself (same FAERS lineage as the labels) - nuisance/degree term, not a biology predictor",OHDSI Common Evidence Model,local Postgres cem,cem_ingredient_condition_associations.csv,float64,0.9991
ingredient_features_label_adjacent.csv,cem_n_faers_pairs,LABEL-ADJACENT,"Derived from the CEM association file itself (same FAERS lineage as the labels) - nuisance/degree term, not a biology predictor",OHDSI Common Evidence Model,local Postgres cem,cem_ingredient_condition_associations.csv,float64,0.9991
ingredient_features_label_adjacent.csv,cem_n_semmeddb_pairs,LABEL-ADJACENT,"Derived from the CEM association file itself (same FAERS lineage as the labels) - nuisance/degree term, not a biology predictor",OHDSI Common Evidence Model,local Postgres cem,cem_ingredient_condition_associations.csv,float64,0.9991
ingredient_features_label_adjacent.csv,cem_faers_case_count_sum,LABEL-ADJACENT,"Derived from the CEM association file itself (same FAERS lineage as the labels) - nuisance/degree term, not a biology predictor",OHDSI Common Evidence Model,local Postgres cem,cem_ingredient_condition_associations.csv,float64,0.9991
ingredient_features_label_adjacent.csv,cem_faers_prr_median,LABEL-ADJACENT,"Derived from the CEM association file itself (same FAERS lineage as the labels) - nuisance/degree term, not a biology predictor",OHDSI Common Evidence Model,local Postgres cem,cem_ingredient_condition_associations.csv,float64,0.7771
